"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00024175","SALT LAKE CITY, UT US","1940-01-01","0.24","0.0",,"50","37"
"USW00024175","SALT LAKE CITY, UT US","1940-01-02","0.90","0.0",,"44","38"
"USW00024175","SALT LAKE CITY, UT US","1940-01-03","0.57","0.0",,"45","36"
"USW00024175","SALT LAKE CITY, UT US","1940-01-04","0.25","0.0",,"42","34"
"USW00024175","SALT LAKE CITY, UT US","1940-01-05","0.99","4.7",,"33","30"
"USW00024175","SALT LAKE CITY, UT US","1940-01-06","0.11","4.5",,"33","22"
"USW00024175","SALT LAKE CITY, UT US","1940-01-07","0.00","0.0",,"33","18"
"USW00024175","SALT LAKE CITY, UT US","1940-01-08","0.00","0.0",,"41","31"
"USW00024175","SALT LAKE CITY, UT US","1940-01-09","0.01","0.0",,"43","36"
"USW00024175","SALT LAKE CITY, UT US","1940-01-10","0.08","0.0",,"45","36"
"USW00024175","SALT LAKE CITY, UT US","1940-01-11","0.00","0.0",,"43","30"
"USW00024175","SALT LAKE CITY, UT US","1940-01-12","0.26","2.5",,"37","23"
"USW00024175","SALT LAKE CITY, UT US","1940-01-13","0.00","0.0",,"30","21"
"USW00024175","SALT LAKE CITY, UT US","1940-01-14","0.00","0.0",,"34","21"
"USW00024175","SALT LAKE CITY, UT US","1940-01-15","0.00","0.0",,"36","18"
"USW00024175","SALT LAKE CITY, UT US","1940-01-16","0.00","0.0",,"37","19"
"USW00024175","SALT LAKE CITY, UT US","1940-01-17","0.00","0.0",,"36","19"
"USW00024175","SALT LAKE CITY, UT US","1940-01-18","0.06","1.0",,"29","17"
"USW00024175","SALT LAKE CITY, UT US","1940-01-19","0.00","0.0",,"27","11"
"USW00024175","SALT LAKE CITY, UT US","1940-01-20","0.07","1.3",,"29","20"
"USW00024175","SALT LAKE CITY, UT US","1940-01-21","0.03","0.4",,"28","15"
"USW00024175","SALT LAKE CITY, UT US","1940-01-22","0.00","0.0",,"30","13"
"USW00024175","SALT LAKE CITY, UT US","1940-01-23","0.06","0.0",,"33","20"
"USW00024175","SALT LAKE CITY, UT US","1940-01-24","0.11","1.7",,"37","26"
"USW00024175","SALT LAKE CITY, UT US","1940-01-25","0.00","0.0",,"42","32"
"USW00024175","SALT LAKE CITY, UT US","1940-01-26","0.16","0.0",,"51","35"
"USW00024175","SALT LAKE CITY, UT US","1940-01-27","0.00","0.0",,"48","33"
"USW00024175","SALT LAKE CITY, UT US","1940-01-28","0.00","0.0",,"50","31"
"USW00024175","SALT LAKE CITY, UT US","1940-01-29","0.00","0.0",,"45","30"
"USW00024175","SALT LAKE CITY, UT US","1940-01-30","0.00","0.0",,"33","26"
"USW00024175","SALT LAKE CITY, UT US","1940-01-31","0.00","0.0",,"33","28"
"USW00024175","SALT LAKE CITY, UT US","1940-02-01","0.00","0.0",,"44","30"
"USW00024175","SALT LAKE CITY, UT US","1940-02-02","0.00","0.0",,"49","33"
